Block Row,Block Column,Status
13,12,Restored
13,13,Restored
13,14,Restored
13,15,Restored
13,16,Restored
13,17,Restored
13,18,Restored
13,19,Restored
13,20,Restored
13,21,Restored
13,22,Restored
13,23,Restored
13,24,Restored
13,25,Restored
13,26,Restored
13,27,Restored
13,28,Restored
13,29,Outage
13,30,Restored
13,31,Restored
13,32,Restored
13,33,Restored
13,34,Outage
13,35,Restored
13,36,Restored
13,37,Restored
13,38,Restored
13,39,Restored
13,40,Restored
13,41,Restored
13,42,Restored
13,43,Restored
13,44,Restored
13,45,Restored
13,46,Restored
13,47,Restored
13,48,Restored
13,49,Restored
13,50,Restored
13,51,Restored
13,52,Restored
13,53,Restored
13,54,Restored
13,55,Restored
13,56,Restored
13,57,Restored
13,58,Restored
13,59,Restored
13,60,Restored
13,61,Restored
13,62,Outage
13,63,Outage
14,0,Outage
14,1,Outage
14,2,Outage
14,3,Restored
14,4,Restored
14,5,Restored
14,6,Outage
14,7,Restored
14,8,Restored
14,9,Restored
14,10,Restored
14,11,Restored
14,12,Restored
14,13,Restored
14,14,Restored
14,15,Restored
14,16,Restored
14,17,Restored
14,18,Restored
14,19,Restored
14,20,Restored
14,21,Restored
14,22,Restored
14,23,Restored
14,24,Restored
14,25,Restored
14,26,Restored
14,27,Restored
14,28,Restored
14,29,Restored
14,30,Restored
14,31,Restored
14,32,Restored
14,33,Restored
14,34,Restored
14,35,Restored
14,36,Restored
14,37,Restored
14,38,Restored
14,39,Restored
14,40,Restored
14,41,Restored
14,42,Restored
14,43,Restored
14,44,Restored
14,45,Restored
14,46,Restored
14,47,Restored
14,48,Restored
14,49,Restored
14,50,Restored
14,51,Restored
14,52,Restored
14,53,Restored
14,54,Restored
14,55,Restored
14,56,Restored
14,57,Restored
14,58,Restored
14,59,Restored
14,60,Restored
14,61,Outage
14,62,Restored
14,63,Outage
15,0,Outage
15,1,Outage
15,2,Restored
15,3,Restored
15,4,Restored
15,5,Restored
15,6,Restored
15,7,Outage
15,8,Restored
15,9,Restored
15,10,Restored
15,11,Restored
15,12,Restored
15,13,Restored
15,14,Outage
15,15,Restored
15,16,Restored
15,17,Restored
15,18,Restored
15,19,Restored
15,20,Restored
15,21,Restored
15,22,Restored
15,23,Restored
15,24,Restored
15,25,Restored
15,26,Restored
15,27,Restored
15,28,Restored
15,29,Restored
15,30,Restored
15,31,Restored
15,32,Restored
15,33,Restored
15,34,Restored
15,35,Restored
15,36,Restored
15,37,Restored
15,38,Restored
15,39,Restored
15,40,Restored
15,41,Restored
15,42,Restored
15,43,Restored
15,44,Restored
15,45,Restored
15,46,Restored
15,47,Restored
15,48,Restored
15,49,Restored
15,50,Restored
15,51,Restored
15,52,Restored
15,53,Restored
15,54,Restored
15,55,Restored
15,56,Restored
15,57,Restored
15,58,Restored
15,59,Restored
15,60,Restored
15,61,Restored
15,62,Restored
15,63,Restored
16,0,Restored
16,1,Restored
16,2,Restored
16,3,Restored
16,4,Restored
16,5,Restored
16,6,Restored
16,7,Restored
16,8,Restored
16,9,Restored
16,10,Restored
16,11,Restored
16,12,Restored
16,13,Restored
16,14,Outage
16,15,Outage
16,16,Restored
16,17,Restored
16,18,Restored
16,19,Restored
16,20,Restored
16,21,Restored
16,22,Restored
16,23,Restored
16,24,Restored
16,25,Restored
16,26,Restored
16,27,Restored
16,28,Restored
16,29,Restored
16,30,Restored
16,31,Restored
16,32,Restored
16,33,Restored
16,34,Restored
16,35,Restored
16,36,Restored
16,37,Restored
16,38,Restored
16,39,Restored
16,40,Restored
16,41,Restored
16,42,Restored
16,43,Restored
16,44,Restored
16,45,Restored
16,46,Restored
16,47,Restored
16,48,Restored
16,49,Restored
16,50,Restored
16,51,Restored
16,52,Restored
16,53,Restored
16,54,Restored
16,55,Restored
16,56,Restored
16,57,Restored
16,58,Restored
16,59,Restored
16,60,Restored
16,61,Restored
16,62,Restored
16,63,Restored
17,0,Restored
17,1,Restored
17,2,Restored
17,3,Restored
17,4,Restored
17,5,Restored
17,6,Restored
17,7,Restored
17,8,Restored
17,9,Restored
17,10,Restored
17,11,Restored
17,12,Restored
17,13,Restored
17,14,Restored
17,15,Restored
17,16,Restored
17,17,Restored
17,18,Outage
17,19,Restored
17,20,Restored
17,21,Restored
17,22,Restored
17,23,Restored
17,24,Restored
17,25,Restored
17,26,Outage
17,27,Outage
17,28,Restored
17,29,Restored
17,30,Restored
17,31,Restored
17,32,Restored
17,33,Restored
17,34,Restored
17,35,Restored
17,36,Restored
17,37,Outage
17,38,Outage
17,39,Outage
17,40,Outage
17,41,Restored
17,42,Restored
17,43,Outage
17,44,Restored
17,45,Restored
17,46,Restored
17,47,Restored
17,48,Restored
17,49,Restored
17,50,Restored
17,51,Restored
17,52,Restored
17,53,Restored
17,54,Restored
17,55,Restored
17,56,Restored
17,57,Restored
17,58,Restored
17,59,Restored
17,60,Restored
17,61,Restored
17,62,Restored
17,63,Restored
18,0,Restored
18,1,Restored
18,2,Restored
18,3,Restored
18,4,Restored
18,5,Restored
18,6,Restored
18,7,Restored
18,8,Restored
18,9,Restored
18,10,Restored
18,11,Restored
18,12,Restored
18,13,Restored
18,14,Outage
18,15,Restored
18,16,Restored
18,17,Outage
18,18,Outage
18,19,Outage
18,20,Outage
18,21,Restored
18,22,Restored
18,23,Restored
18,24,Restored
18,25,Restored
18,26,Outage
18,27,Outage
18,28,Outage
18,29,Restored
18,30,Outage
18,31,Restored
18,32,Restored
18,33,Restored
18,34,Restored
18,35,Restored
18,36,Outage
18,37,Outage
18,38,Restored
18,39,Restored
18,40,Outage
18,41,Restored
18,42,Restored
18,43,Outage
18,44,Restored
18,45,Restored
18,46,Restored
18,47,Restored
18,48,Restored
18,49,Restored
18,50,Restored
18,51,Restored
18,52,Restored
18,53,Restored
18,54,Restored
18,55,Restored
18,56,Restored
18,57,Restored
18,58,Restored
18,59,Restored
18,60,Restored
18,61,Restored
18,62,Restored
18,63,Restored
19,0,Restored
19,1,Restored
19,2,Outage
19,3,Restored
19,4,Restored
19,5,Restored
19,6,Restored
19,7,Restored
19,8,Restored
19,9,Restored
19,10,Restored
19,11,Restored
19,12,Restored
19,13,Restored
19,14,Outage
19,15,Restored
19,16,Outage
19,17,Outage
19,18,Outage
19,19,Outage
19,20,Outage
19,21,Restored
19,22,Restored
19,23,Restored
19,24,Restored
19,25,Restored
19,26,Outage
19,27,Restored
19,28,Outage
19,29,Outage
19,30,Restored
19,31,Restored
19,32,Restored
19,33,Restored
19,34,Restored
19,35,Restored
19,36,Restored
19,37,Outage
19,38,Outage
19,39,Restored
19,40,Restored
19,41,Restored
19,42,Restored
19,43,Outage
19,44,Restored
19,45,Restored
19,46,Restored
19,47,Restored
19,48,Restored
19,49,Restored
19,50,Restored
19,51,Restored
19,52,Restored
19,53,Restored
19,54,Restored
19,55,Restored
19,56,Restored
19,57,Restored
19,58,Restored
19,59,Restored
19,60,Restored
19,61,Restored
19,62,Restored
19,63,Restored
20,0,Outage
20,1,Outage
20,2,Outage
20,3,Restored
20,4,Restored
20,5,Restored
20,6,Restored
20,7,Restored
20,8,Restored
20,9,Restored
20,10,Restored
20,11,Restored
20,12,Restored
20,13,Restored
20,14,Restored
20,15,Restored
20,16,Restored
20,17,Outage
20,18,Outage
20,19,Restored
20,20,Outage
20,21,Restored
20,22,Restored
20,23,Restored
20,24,Restored
20,25,Outage
20,26,Outage
20,27,Outage
20,28,Outage
20,29,Outage
20,30,Outage
20,31,Restored
20,32,Restored
20,33,Outage
20,34,Restored
20,35,Restored
20,36,Restored
20,37,Restored
20,38,Restored
20,39,Restored
20,40,Restored
20,41,Restored
20,42,Restored
20,43,Restored
20,44,Restored
20,45,Restored
20,46,Restored
20,47,Restored
20,48,Restored
20,49,Restored
20,50,Restored
20,51,Restored
20,52,Restored
20,53,Restored
20,54,Restored
20,55,Restored
20,56,Restored
20,57,Restored
20,58,Restored
20,59,Restored
20,60,Restored
20,61,Restored
20,62,Restored
20,63,Restored
21,0,Outage
21,1,Restored
21,2,Restored
21,3,Restored
21,4,Restored
21,5,Restored
21,6,Restored
21,7,Restored
21,8,Restored
21,9,Restored
21,10,Restored
21,11,Restored
21,12,Restored
21,13,Restored
21,14,Restored
21,15,Restored
21,16,Restored
21,17,Restored
21,18,Restored
21,19,Restored
21,20,Restored
21,21,Restored
21,22,Restored
21,23,Outage
21,24,Outage
21,25,Outage
21,26,Outage
21,27,Outage
21,28,Outage
21,29,Outage
21,30,Outage
21,31,Restored
21,32,Restored
21,33,Outage
21,34,Restored
21,35,Restored
21,36,Restored
21,37,Restored
21,38,Restored
21,39,Same
21,40,Same
21,41,Restored
21,42,Restored
21,43,Same
21,44,Restored
21,45,Same
21,46,Restored
21,47,Restored
21,48,Restored
21,49,Restored
21,50,Restored
21,51,Restored
21,52,Restored
21,53,Restored
21,54,Restored
21,55,Restored
21,56,Restored
21,57,Restored
21,58,Restored
21,59,Restored
21,60,Restored
21,61,Restored
21,62,Restored
21,63,Restored
22,0,Outage
22,1,Restored
22,2,Restored
22,3,Restored
22,4,Restored
22,5,Restored
22,6,Restored
22,7,Restored
22,8,Restored
22,9,Restored
22,10,Restored
22,11,Restored
22,12,Restored
22,13,Restored
22,14,Restored
22,15,Restored
22,16,Restored
22,17,Restored
22,18,Restored
22,19,Restored
22,20,Outage
22,21,Outage
22,22,Outage
22,23,Restored
22,24,Restored
22,25,Outage
22,26,Outage
22,27,Outage
22,28,Outage
22,29,Restored
22,30,Restored
22,31,Restored
22,32,Restored
22,33,Restored
22,34,Restored
22,35,Restored
22,36,Restored
22,37,Same
22,38,Same
22,39,Same
22,40,Same
22,41,Restored
22,42,Same
22,43,Same
22,44,Same
22,45,Restored
22,46,Restored
22,47,Restored
22,48,Restored
22,49,Restored
22,50,Restored
22,51,Restored
22,52,Restored
22,53,Restored
22,54,Restored
22,55,Restored
22,56,Restored
22,57,Restored
22,58,Restored
22,59,Restored
22,60,Restored
22,61,Restored
22,62,Outage
22,63,Outage
23,0,Outage
23,1,Outage
23,2,Restored
23,3,Restored
23,4,Restored
23,5,Restored
23,6,Restored
23,7,Restored
23,8,Restored
23,9,Restored
23,10,Restored
23,11,Restored
23,12,Restored
23,13,Restored
23,14,Restored
23,15,Outage
23,16,Restored
23,17,Restored
23,18,Restored
23,19,Restored
23,20,Restored
23,21,Outage
23,22,Outage
23,23,Restored
23,24,Restored
23,25,Outage
23,26,Outage
23,27,Outage
23,28,Outage
23,29,Restored
23,30,Restored
23,31,Restored
23,32,Restored
23,33,Restored
23,34,Restored
23,35,Restored
23,36,Restored
23,37,Restored
23,38,Same
23,39,Same
23,40,Same
23,41,Restored
23,42,Same
23,43,Same
23,44,Restored
23,45,Same
23,46,Restored
23,47,Restored
23,48,Restored
23,49,Outage
23,50,Restored
23,51,Restored
23,52,Restored
23,53,Restored
23,54,Restored
23,55,Restored
23,56,Restored
23,57,Restored
23,58,Restored
23,59,Restored
23,60,Restored
23,61,Restored
23,62,Restored
23,63,Restored
24,0,Outage
24,1,Restored
24,2,Restored
24,3,Restored
24,4,Restored
24,5,Restored
24,6,Restored
24,7,Restored
24,8,Restored
24,9,Restored
24,10,Restored
24,11,Restored
24,12,Restored
24,13,Restored
24,14,Restored
24,15,Outage
24,16,Outage
24,17,Restored
24,18,Restored
24,19,Restored
24,20,Outage
24,21,Outage
24,22,Outage
24,23,Restored
24,24,Outage
24,25,Outage
24,26,Outage
24,27,Outage
24,28,Outage
24,29,Outage
24,30,Restored
24,31,Restored
24,32,Restored
24,33,Restored
24,34,Outage
24,35,Restored
24,36,Restored
24,37,Same
24,38,Same
24,39,Same
24,40,Same
24,41,Same
24,42,Same
24,43,Same
24,44,Same
24,45,Restored
24,46,Restored
24,47,Restored
24,48,Restored
24,49,Restored
24,50,Restored
24,51,Restored
24,52,Restored
24,53,Restored
24,54,Restored
24,55,Restored
24,56,Restored
24,57,Restored
24,58,Restored
24,59,Restored
24,60,Restored
24,61,Restored
24,62,Restored
24,63,Restored
25,0,Restored
25,1,Restored
25,2,Restored
25,3,Restored
25,4,Restored
25,5,Outage
25,6,Outage
25,7,Restored
25,8,Restored
25,9,Outage
25,10,Outage
25,11,Restored
25,12,Restored
25,13,Restored
25,14,Outage
25,15,Outage
25,16,Outage
25,17,Restored
25,18,Restored
25,19,Restored
25,20,Outage
25,21,Restored
25,22,Outage
25,23,Outage
25,24,Restored
25,25,Outage
25,26,Outage
25,27,Outage
25,28,Outage
25,29,Outage
25,30,Restored
25,31,Restored
25,32,Restored
25,33,Restored
25,34,Restored
25,35,Restored
25,36,Restored
25,37,Same
25,38,Same
25,39,Same
25,40,Same
25,41,Same
25,42,Same
25,43,Same
25,44,Same
25,45,Same
25,46,Restored
25,47,Restored
25,48,Restored
25,49,Restored
25,50,Restored
25,51,Restored
25,52,Restored
25,53,Restored
25,54,Outage
25,55,Restored
25,56,Restored
25,57,Restored
25,58,Restored
25,59,Restored
25,60,Restored
25,61,Restored
25,62,Restored
25,63,Outage
26,0,Restored
26,1,Restored
26,2,Restored
26,3,Restored
26,4,Restored
26,5,Outage
26,6,Outage
26,7,Restored
26,8,Restored
26,9,Outage
26,10,Outage
26,11,Restored
26,12,Restored
26,13,Restored
26,14,Restored
26,15,Restored
26,16,Restored
26,17,Restored
26,18,Restored
26,19,Restored
26,20,Outage
26,21,Outage
26,22,Outage
26,23,Outage
26,24,Outage
26,25,Outage
26,26,Outage
26,27,Restored
26,28,Restored
26,29,Restored
26,30,Restored
26,31,Restored
26,32,Restored
26,33,Restored
26,34,Restored
26,35,Same
26,36,Restored
26,37,Same
26,38,Same
26,39,Same
26,40,Same
26,41,Same
26,42,Same
26,43,Same
26,44,Same
