62.2,60.0,65.61,209.56,254.39,255.0,252.62,211.44,127.03,75.06,51.73,165.43,82.27,31.73,46.86,62.26,65.02,61.21,57.64,57.22,69.38,79.0,82.47,81.51,77.4,80.87,87.82,86.98,85.59,85.79,89.8,91.87,89.79,89.61,90.76,91.94,90.39,88.4,87.05,87.37,90.36,90.03,90.7,89.68,87.76,87.15,88.72,90.89,92.15,94.07,97.78,97.27,99.25,102.62,105.01,105.33,104.93,106.08,101.34,86.76,40.9,19.59,25.87,71.05
59.39,59.2,65.98,233.24,254.63,255.0,250.72,198.98,110.97,75.24,38.43,125.75,123.05,45.75,49.84,62.87,65.26,63.12,59.31,60.15,73.32,82.51,86.84,80.39,78.61,84.58,91.63,90.43,89.91,90.35,91.43,92.39,92.06,93.86,94.95,97.11,93.9,92.44,91.46,94.57,95.53,93.24,94.29,94.57,93.5,93.07,95.05,97.24,98.54,98.89,100.29,101.44,104.42,106.23,106.41,108.62,109.06,110.82,104.28,86.8,35.24,20.52,36.38,85.12
57.17,57.21,78.66,248.97,254.96,255.0,247.42,185.08,101.31,76.29,39.23,57.17,163.83,68.08,49.93,62.89,64.69,63.16,61.2,62.64,77.13,86.26,87.48,80.77,78.59,87.46,95.11,93.36,94.92,96.31,96.53,96.77,96.9,99.18,99.9,101.3,103.19,102.64,107.79,105.82,107.04,108.44,104.37,98.82,100.19,100.06,98.88,102.18,101.8,104.51,106.7,108.67,107.55,109.21,112.55,115.88,117.11,115.87,104.11,83.64,30.21,24.59,55.29,102.56
55.27,56.33,103.84,254.29,254.84,254.76,242.81,170.33,93.93,76.94,39.18,31.89,151.32,100.36,53.06,65.0,65.38,63.84,63.31,66.71,81.19,89.71,88.68,82.24,82.02,90.47,100.47,95.31,97.1,99.89,99.12,100.57,101.99,103.08,102.65,102.27,103.1,104.77,107.88,102.19,101.99,104.85,110.21,108.71,103.33,104.76,103.99,104.96,106.62,108.55,110.61,111.18,111.55,113.27,117.09,118.66,121.25,117.94,110.72,71.64,29.47,38.49,83.47,119.66
53.71,55.58,126.89,254.77,255.0,254.31,235.37,153.46,89.08,78.61,40.75,29.51,90.8,141.58,57.15,64.65,66.92,71.52,66.83,69.56,85.68,90.97,86.67,78.41,84.31,91.54,97.08,100.51,99.04,100.11,102.86,103.79,106.25,107.1,108.57,106.75,106.92,110.59,110.2,106.12,104.17,107.43,107.5,106.7,107.28,108.49,108.64,108.28,109.85,112.99,115.88,115.55,118.0,117.19,120.95,124.59,126.76,116.6,120.04,53.53,40.82,67.85,112.47,134.21
49.86,55.99,154.26,254.7,254.97,253.99,225.44,138.38,87.33,79.79,41.91,28.86,39.41,150.92,68.4,62.32,72.23,71.7,69.34,74.61,89.95,92.18,85.21,79.26,89.06,95.97,102.67,104.24,103.1,105.37,107.09,107.34,107.43,108.0,109.85,110.89,113.21,111.75,111.34,110.96,108.31,110.33,111.34,109.28,110.72,111.46,113.77,112.32,115.61,121.58,118.7,119.72,122.64,124.62,126.98,128.03,123.95,132.26,109.2,55.29,63.88,107.23,135.81,141.3
48.3,55.61,183.23,254.88,254.95,252.93,213.5,125.74,87.91,82.2,45.35,29.74,29.42,117.47,102.93,59.13,66.48,64.23,72.15,78.81,93.43,95.45,84.75,82.74,91.69,100.57,106.06,107.81,106.98,109.53,111.48,117.62,114.01,111.72,112.99,116.47,120.63,116.14,114.35,112.94,113.32,114.99,116.04,115.42,115.42,115.79,116.9,118.08,122.7,124.76,122.95,124.46,128.31,129.51,131.65,129.35,129.61,167.4,83.0,90.29,105.79,140.63,144.36,147.72
48.59,58.43,210.02,254.75,254.98,251.29,200.49,115.65,89.54,84.13,58.97,32.41,29.98,76.62,148.86,57.12,67.99,68.62,77.08,84.99,96.87,95.65,83.65,86.24,96.69,103.55,108.15,108.61,110.96,113.29,112.75,116.14,116.68,117.15,117.94,122.47,124.25,120.64,118.09,118.54,120.02,118.3,118.79,119.0,120.98,121.95,124.45,125.09,125.12,125.55,124.79,126.95,132.63,133.66,134.29,128.83,196.2,125.16,121.18,120.85,152.24,152.56,152.2,154.2
50.91,64.31,236.2,254.92,254.94,248.25,186.94,106.44,88.48,88.35,79.7,33.67,29.55,58.23,156.72,63.08,72.75,72.69,82.24,87.15,96.64,94.68,85.0,89.91,104.7,108.59,111.37,111.07,115.37,116.71,117.49,119.01,120.58,121.27,122.77,124.8,124.0,124.29,123.32,124.27,122.75,123.07,123.36,124.87,127.86,126.87,127.67,128.49,127.24,129.72,130.21,133.11,136.14,131.67,121.65,197.72,151.35,143.31,148.15,164.1,161.8,155.47,157.33,159.5
53.7,76.59,248.03,254.78,254.81,242.81,170.6,97.35,89.16,87.93,86.18,34.53,30.08,56.99,137.67,79.9,72.65,76.83,84.68,87.78,97.42,96.11,84.1,93.94,108.89,113.66,114.77,116.42,120.52,122.33,125.28,123.16,123.1,124.68,128.51,128.31,127.31,127.04,127.97,129.37,128.36,128.44,129.12,128.86,130.86,131.39,132.61,132.08,131.9,133.4,133.84,133.19,120.29,116.84,189.08,150.73,157.33,163.91,170.11,163.32,159.98,160.07,167.33,166.86
